id,gene_short_name,signature
ENSDARG00000019507,mcm5,G1_S
ENSDARG00000054155,pcna,G1_S
ENSDARG00000042894,tyms,G1_S
ENSDARG00000011404,fen1,G1_S
ENSDARG00000102798,mcm2,G1_S
ENSDARG00000040041,mcm4,G1_S
ENSDARG00000014017,rrm1,G1_S
ENSDARG00000112550,CR387979.1,G1_S
ENSDARG00000002304,gins2,G1_S
ENSDARG00000057683,mcm6,G1_S
ENSDARG00000023002,dtl,G1_S
ENSDARG00000040163,prim1,G1_S
ENSDARG00000103409,uhrf1,G1_S
ENSDARG00000057738,hells,G1_S
ENSDARG00000112932,hells,G1_S
ENSDARG00000116012,hells,G1_S
ENSDARG00000014274,rfc2,G1_S
ENSDARG00000037188,rpa2,G1_S
ENSDARG00000039208,nasp,G1_S
ENSDARG00000114134,nasp,G1_S
ENSDARG00000045853,rad51ap1,G1_S
ENSDARG00000035957,gmnn,G1_S
ENSDARG00000113743,gmnn,G1_S
ENSDARG00000053554,wdr76,G1_S
ENSDARG00000115151,wdr76,G1_S
ENSDARG00000100558,slbp,G1_S
ENSDARG00000098529,ccne2,G1_S
ENSDARG00000005536,ubr7,G1_S
ENSDARG00000076169,pold3,G1_S
ENSDARG00000018022,msh2,G1_S
ENSDARG00000115185,msh2,G1_S
ENSDARG00000076590,atad2,G1_S
ENSDARG00000041411,rad51,G1_S
ENSDARG00000111948,rad51,G1_S
ENSDARG00000020711,rrm2,G1_S
ENSDARG00000078069,rrm2,G1_S
ENSDARG00000043720,cdc45,G1_S
ENSDARG00000009942,cdc6,G1_S
ENSDARG00000109602,cdc6,G1_S
ENSDARG00000056832,exo1,G1_S
ENSDARG00000112534,exo1,G1_S
ENSDARG00000036136,tipin,G1_S
ENSDARG00000110772,tipin,G1_S
ENSDARG00000019907,dscc1,G1_S
ENSDARG00000077089,blm,G1_S
ENSDARG00000022718,casp8ap2,G1_S
ENSDARG00000056414,usp1,G1_S
ENSDARG00000045308,pola1,G1_S
ENSDARG00000056473,chaf1b,G1_S
ENSDARG00000074410,brip1,G1_S
ENSDARG00000113993,brip1,G1_S
ENSDARG00000057323,e2f8,G1_S
ENSDARG00000087554,cdk1,G2_M
ENSDARG00000002403,nusap1,G2_M
ENSDARG00000101618,ube2c,G2_M
ENSDARG00000078654,tpx2,G2_M
ENSDARG00000024488,top2a,G2_M
ENSDARG00000071694,ndc80,G2_M
ENSDARG00000071410,cks2,G2_M
ENSDARG00000034624,nuf2,G2_M
ENSDARG00000007971,cks1b,G2_M
ENSDARG00000091150,mki67,G2_M
ENSDARG00000055133,cenpf,G2_M
ENSDARG00000005454,tacc3,G2_M
ENSDARG00000038882,smc4,G2_M
ENSDARG00000036180,ccnb2,G2_M
ENSDARG00000100573,ckap2l,G2_M
ENSDARG00000037640,aurkb,G2_M
ENSDARG00000077029,bub1,G2_M
ENSDARG00000010948,kif11,G2_M
ENSDARG00000054804,anp32e,G2_M
ENSDARG00000002344,tubb4b,G2_M
ENSDARG00000041723,TUBB4B,G2_M
ENSDARG00000013719,gtse1,G2_M
ENSDARG00000100741,cdc20,G2_M
ENSDARG00000041361,ttk,G2_M
ENSDARG00000076228,kif2c,G2_M
ENSDARG00000005058,ncapd2,G2_M
ENSDARG00000045167,dlgap5,G2_M
ENSDARG00000043137,cdca8,G2_M
ENSDARG00000007278,ect2,G2_M
ENSDARG00000014943,kif23,G2_M
ENSDARG00000116561,kif23,G2_M
ENSDARG00000021794,hmmr,G2_M
ENSDARG00000012485,aurka,G2_M
ENSDARG00000060917,anln,G2_M
ENSDARG00000014013,lbr,G2_M
ENSDARG00000102674,ckap5,G2_M
ENSDARG00000063385,cenpe,G2_M
ENSDARG00000056621,ctcf,G2_M
ENSDARG00000005619,nek2,G2_M
ENSDARG00000001313,g2e3,G2_M
ENSDARG00000045880,gas2l3,G2_M
ENSDARG00000061187,cbx5,G2_M
ENSDARG00000093022,selenoh,G2_M
