id,Class,Family
ENSDARG00000112884,TF,zf-C2H2
ENSDARG00000039095,TF,Homeobox
ENSDARG00000102994,TF,zf-C2H2
ENSDARG00000088084,TF,zf-C2H2
ENSDARG00000094242,TF,zf-C2H2
ENSDARG00000112302,TF,Pou
ENSDARG00000056292,TF,Homeobox
ENSDARG00000104243,TF,T-box
ENSDARG00000040141,TF,zf-C2H2
ENSDARG00000019658,TF,Pou
ENSDARG00000110454,TF,zf-C2H2
ENSDARG00000102673,TF,zf-C2H2
ENSDARG00000020746,TF,zf-C2H2
ENSDARG00000031683,TF,TF_bZIP
ENSDARG00000061147,TF,zf-C2H2
ENSDARG00000014626,TF,Homeobox
ENSDARG00000102756,TF,Miscellaneous
ENSDARG00000116441,TF,HMG
ENSDARG00000014181,TF,Fork_head
ENSDARG00000109672,TF,THAP
ENSDARG00000104584,TF,zf-C2H2
ENSDARG00000113871,TF,STAT
ENSDARG00000003965,TF,Homeobox
ENSDARG00000110922,TF,THAP
ENSDARG00000116300,TF,zf-C2H2
ENSDARG00000096528,TF,zf-C2H2
ENSDARG00000094684,TF,zf-C2H2
ENSDARG00000095708,TF,zf-C2H2
ENSDARG00000075713,TF,Homeobox
ENSDARG00000054683,TF,zf-C2H2
ENSDARG00000053097,TF,HSF
ENSDARG00000061549,TF,Fork_head
ENSDARG00000073988,TF,bHLH
ENSDARG00000003877,TF,HMG
ENSDARG00000103316,TF,zf-C2H2
ENSDARG00000110771,TF,SRF
ENSDARG00000108812,TF,zf-C2H2
ENSDARG00000017953,TF,P53
ENSDARG00000086892,TF,ETS
ENSDARG00000028159,TF,TEA
ENSDARG00000114349,TF,zf-C2H2
ENSDARG00000052893,TF,Homeobox
ENSDARG00000079613,TF,zf-C2H2
ENSDARG00000075113,TF,Homeobox
ENSDARG00000090814,TF,HSF
ENSDARG00000071413,TF,MYB
ENSDARG00000001015,TF,zf-C2H2
ENSDARG00000009473,TF,THR-like
ENSDARG00000110016,TF,bHLH
ENSDARG00000007097,TF,bHLH
ENSDARG00000115318,TF,TF_bZIP
ENSDARG00000095605,TF,zf-C2H2
ENSDARG00000095993,TF,zf-C2H2
ENSDARG00000110085,TF,TF_bZIP
ENSDARG00000112303,TF,Fork_head
ENSDARG00000094214,TF,zf-BED
ENSDARG00000100560,TF,zf-C2H2
ENSDARG00000100097,TF,TF_bZIP
ENSDARG00000074293,TF,Homeobox
ENSDARG00000104034,TF,ARID
ENSDARG00000104894,TF,zf-C2H2
ENSDARG00000070343,TF,Homeobox
ENSDARG00000109712,TF,Fork_head
ENSDARG00000115572,TF,bHLH
ENSDARG00000023031,TF,Homeobox
ENSDARG00000105013,TF,Homeobox
ENSDARG00000095126,TF,zf-C2H2
ENSDARG00000102976,TF,Homeobox
ENSDARG00000019265,TF,ZBTB
ENSDARG00000074125,TF,zf-C2H2
ENSDARG00000075891,TF,zf-C2H2
ENSDARG00000116814,TF,zf-C2H2
ENSDARG00000090998,TF,zf-C2H2
ENSDARG00000101986,TF,IRF
ENSDARG00000104892,TF,zf-C2H2
ENSDARG00000010770,TF,HMG
ENSDARG00000114353,TF,HMG
ENSDARG00000019392,TF,STAT
ENSDARG00000055926,TF,Fork_head
ENSDARG00000018765,TF,Homeobox
ENSDARG00000009094,TF,zf-GATA
ENSDARG00000023537,TF,bHLH
ENSDARG00000031198,TF,HMG
ENSDARG00000097394,TF,zf-C2H2
ENSDARG00000068428,TF,TF_bZIP
ENSDARG00000113014,TF,HPD
ENSDARG00000061424,TF,zf-C2H2
ENSDARG00000039843,TF,zf-C2H2
ENSDARG00000093665,TF,zf-C2H2
ENSDARG00000090449,TF,SAND
ENSDARG00000087483,TF,zf-C2H2
ENSDARG00000070929,TF,HMG
ENSDARG00000090304,TF,zf-C2H2
ENSDARG00000099761,TF,Homeobox
ENSDARG00000103450,TF,zf-C2H2
ENSDARG00000095635,TF,zf-C2H2
ENSDARG00000079201,TF,zf-C2H2
ENSDARG00000015072,TF,DM
ENSDARG00000061391,TF,CP2
ENSDARG00000058924,TF,Pou
ENSDARG00000042824,TF,TF_bZIP
ENSDARG00000115017,TF,zf-C2H2
ENSDARG00000012078,TF,Homeobox
ENSDARG00000100673,TF,zf-C2H2
ENSDARG00000045911,TF,Tub
ENSDARG00000098613,TF,zf-C2H2
ENSDARG00000071819,TF,zf-C2H2
ENSDARG00000008209,TF,zf-C2HC
ENSDARG00000097091,TF,zf-C2H2
ENSDARG00000039458,TF,Homeobox
ENSDARG00000102401,TF,zf-C2H2
ENSDARG00000113012,TF,COE
ENSDARG00000094992,TF,TF_Otx
ENSDARG00000042667,TF,zf-C2H2
ENSDARG00000103923,TF,bHLH
ENSDARG00000116957,TF,ESR-like
ENSDARG00000052150,TF,Homeobox
ENSDARG00000079233,TF,E2F
ENSDARG00000090817,TF,zf-C2H2
ENSDARG00000109255,TF,zf-C2H2
ENSDARG00000011298,TF,TF_bZIP
ENSDARG00000103850,TF,zf-C2H2
ENSDARG00000094888,TF,zf-C2H2
ENSDARG00000040917,TF,CBF
ENSDARG00000114883,TF,zf-C2H2
ENSDARG00000057238,TF,zf-C2H2
ENSDARG00000078066,TF,ETS
ENSDARG00000018303,TF,ETS
ENSDARG00000069335,TF,ZBTB
ENSDARG00000104065,TF,zf-C2H2
ENSDARG00000103589,TF,zf-GATA
ENSDARG00000075928,TF,zf-C2H2
ENSDARG00000097842,TF,zf-C2H2
ENSDARG00000011956,TF,Homeobox
ENSDARG00000104605,TF,zf-C2H2
ENSDARG00000106808,TF,zf-C2H2
ENSDARG00000092000,TF,zf-C2H2
ENSDARG00000018773,TF,zf-C2H2
ENSDARG00000114536,TF,zf-C2H2
ENSDARG00000113443,TF,zf-C2H2
ENSDARG00000109604,TF,zf-C2H2
ENSDARG00000013057,TF,Homeobox
ENSDARG00000089875,TF,zf-C2H2
ENSDARG00000088640,TF,zf-C2H2
ENSDARG00000059707,TF,zf-C2H2
ENSDARG00000093833,TF,THAP
ENSDARG00000117149,TF,bHLH
ENSDARG00000045611,TF,NF-YB
ENSDARG00000102999,TF,zf-C2H2
ENSDARG00000030058,TF,T-box
ENSDARG00000117132,TF,zf-C2H2
ENSDARG00000076297,TF,RHD
ENSDARG00000055493,TF,ZBTB
ENSDARG00000014018,TF,Homeobox
ENSDARG00000110984,TF,zf-C2H2
ENSDARG00000115019,TF,Fork_head
ENSDARG00000034181,TF,ESR-like
ENSDARG00000101193,TF,zf-C2H2
ENSDARG00000034693,TF,MYB
ENSDARG00000040946,TF,bHLH
ENSDARG00000037555,TF,bHLH
ENSDARG00000041691,TF,bHLH
ENSDARG00000070127,TF,zf-NF-X1
ENSDARG00000113345,TF,TF_bZIP
ENSDARG00000103725,TF,zf-C2H2
ENSDARG00000041910,TF,zf-C2H2
ENSDARG00000103865,TF,zf-C2H2
ENSDARG00000101955,TF,zf-C2H2
ENSDARG00000104488,TF,zf-C2H2
ENSDARG00000038672,TF,HMG
ENSDARG00000102879,TF,zf-C2HC
ENSDARG00000079229,TF,zf-C2H2
ENSDARG00000113022,TF,zf-C2H2
ENSDARG00000103495,TF,zf-C2H2
ENSDARG00000077101,TF,ZBTB
ENSDARG00000096001,TF,zf-C2H2
ENSDARG00000091748,TF,T-box
ENSDARG00000001910,TF,THR-like
ENSDARG00000088861,TF,zf-C2H2
ENSDARG00000104742,TF,RXR-like
ENSDARG00000100494,TF,Homeobox
ENSDARG00000102601,TF,zf-C2H2
ENSDARG00000094736,TF,zf-C2H2
ENSDARG00000004843,TF,Fork_head
ENSDARG00000114365,TF,DM
ENSDARG00000099172,TF,zf-C2H2
ENSDARG00000013615,TF,Homeobox
ENSDARG00000020046,TF,bHLH
ENSDARG00000104251,TF,zf-C2H2
